Semester;Blatt;Aufgabe;Punkte
1;1;1.1a;5
1;1;1.1b;3
1;1;1.2;6
1;1;1.3;4
1;1;1.4;4
1;1;1.5a;4
1;1;1.5b;3
1;2;2.1a;1
1;2;2.1b;1
1;2;2.1c;1
1;2;2.1d;1
1;2;2.2;4
1;2;2.3;4
1;2;2.4a;2
1;2;2.4b;2
1;2;2.4c;2
1;2;2.5;6
1;3;3.1a;2
1;3;3.1b;2
1;3;3.1c;1
1;3;3.1d;2
1;3;3.2a;2
1;3;3.2b;1
1;3;3.2c;2
1;3;3.3a;2
1;3;3.3b;2
1;3;3.3c;1
1;3;3.4a;2
1;3;3.4b;2
1;3;3.4c;1
1;4;4.1;6
1;4;4.2a;2
1;4;4.2b;2
1;4;4.2c;2
1;4;4.3a;2
1;4;4.3b;1
1;4;4.3c;2
1;4;4.4;6
1;4;4.5;4
1;5;5.1a;3
1;5;5.1b;2
1;5;5.2a;2
1;5;5.2b;3
1;5;5.3a;4
1;5;5.3b;4
1;5;5.4a;2
1;5;5.4b;2
1;5;5.4c;1
1;6;6.1a;2
1;6;6.1b;3
1;6;6.1c;2
1;6;6.1d;1
1;6;6.1e;2
1;6;6.2a;2
1;6;6.2b;1
1;6;6.2c;2
1;6;6.3a;3
1;6;6.3b;3
1;6;6.4a;3
1;6;6.4b;3
1;6;6.5a;2
1;6;6.5b;2
1;6;6.5c;2
1;6;6.5d;2
1;7;7.1a;3
1;7;7.1b;2
1;7;7.2;6
1;7;7.3a;2
1;7;7.3b;3
1;7;7.3c;3
1;7;7.4a;2
1;7;7.4b;2
1;7;7.4c;2
1;7;7.4d;2
1;7;7.4e;2
1;8;8.1a;2
1;8;8.1b;2
1;8;8.2;6
1;8;8.3;6
1;8;8.4a;3
1;8;8.4b;5
1;8;8.5a;3
1;8;8.5b;5
1;9;9.1a;1
1;9;9.1b;1
1;9;9.1c;1
1;9;9.1d;1
1;9;9.1e;2
1;9;9.2a;2
1;9;9.2b;2
1;9;9.2c;2
1;9;9.3a;2
1;9;9.3b;1
1;9;9.3c;2
1;9;9.3d;1
1;9;9.4a;1
1;9;9.4b;2
1;9;9.4c;2
1;9;9.4d;1
1;9;9.5a;2
1;9;9.5b;2
1;9;9.5c;2
1;10;10.1a;1
1;10;10.1b;2
1;10;10.1c;1
1;10;10.1d;2
1;10;10.2;5
1;10;10.3a;1
1;10;10.3b;1
1;10;10.3c;2
1;10;10.3d;2
1;10;10.4;4
1;10;10.5a;1
1;10;10.5b;1
1;10;10.5c;2
1;11;11.1;6
1;11;11.2;10
1;11;11.3;6
1;11;11.4;6
1;11;11.5a;2
1;11;11.5b;2
1;11;11.5c;2
2;1;1.1a;3
2;1;1.1b;3
2;1;1.1c;3
2;1;1.1d;3
2;1;1.2a;3
2;1;1.2b;5
2;2;2.1a;3
2;2;2.1b;1
2;2;2.2a;2
2;2;2.2b;3
2;2;2.3a;2
2;2;2.3b;2
2;2;2.3c;2
2;2;2.3d;2
2;2;2.4;3
2;3;3.1;3
2;3;3.2a;2
2;3;3.2b;2
2;3;3.3a;2
2;3;3.3b;8
2;3;3.3c;1
2;3;3.4a;2
2;3;3.4b;2
2;3;3.4c;2
2;3;3.5a;2
2;3;3.5b;2
2;3;3.5c;2
2;3;3.5d;2
2;4;4.1a;2
2;4;4.1b;3
2;4;4.1c;1
2;4;4.2a;4
2;4;4.2b;2
2;4;4.3a;2
2;4;4.3b;1
2;4;4.3c;1
2;4;4.3d;1
2;4;4.3e;1
2;4;4.4a;1
2;4;4.4b;1
2;4;4.4c;1
2;4;4.4d;1
2;5;5.1;6
2;5;5.2a;3
2;5;5.2b;3
2;5;5.3a;2
2;5;5.3b;2
2;5;5.3c;2
2;5;5.4;6
2;6;6.1;6
2;6;6.2;6
2;6;6.3a;4
2;6;6.3b;4
2;6;6.4a;3
2;6;6.4b;2
2;7;7.1;6
2;7;7.2a;3
2;7;7.2b;3
2;7;7.3a;6
2;7;7.3b;2
2;7;7.4a;2
2;7;7.4b;2
2;7;7.4c;2
2;7;7.5a;2
2;7;7.5b;2
2;7;7.5c;2
2;7;7.5d;2
2;7;7.5e;2
2;8;8.1a;3
2;8;8.1b;3
2;8;8.1c;2
2;8;8.2;4
2;8;8.3;6
2;8;8.4a;2
2;8;8.4b;2
2;8;8.4c;2
2;8;8.4d;2
2;8;8.5a;4
2;8;8.5b;2
2;9;9.1a;2
2;9;9.1b;2
2;9;9.1c;2
2;9;9.1d;2
2;9;9.2a;3
2;9;9.2b;3
2;9;9.2c;3
2;9;9.3a;3
2;9;9.3b;1
2;9;9.3c;2
2;9;9.4a;3
2;9;9.4b;2
2;9;9.4c;2
2;9;9.5;3
2;10;10.1a;3
2;10;10.1b;2
2;10;10.1c;3
2;10;10.1d;3
2;10;10.2a;2
2;10;10.2b;2
2;10;10.2c;2
2;10;10.2d;2
2;10;10.3a;2
2;10;10.3b;2
2;10;10.4a;2
2;10;10.4b;2
2;10;10.5a;2
2;10;10.5b;2
2;11;1a;5
2;11;1b;2
2;11;2a1;2
2;11;2a2;2
2;11;2a3;2
2;11;2a4;2
2;11;2a5;2
2;11;2a6;2
2;11;2b;3
2;11;3;5
2;11;4a;2
2;11;4b;2
2;11;4c;2
2;12;12.1a;2
2;12;12.1b;2
2;12;12.1c;2
2;12;12.1d;2
2;12;12.2a;2
2;12;12.2b;2
2;12;12.3;6
2;12;12.4a;4
2;12;12.4b;4